song,tot_laudness_mean,tot_laudness_std,SONE_mean0,SONE_mean1,SONE_mean2,SONE_mean3,SONE_mean4,SONE_mean5,SONE_mean6,SONE_mean7,SONE_mean8,SONE_mean9,SONE_mean10,SONE_mean11,SONE_mean12,SONE_mean13,SONE_mean14,SONE_mean15,SONE_mean16,SONE_mean17,SONE_mean18,SONE_mean19,SONE_mean20,SONE_mean21,SONE_mean22,SONE_mean23,SONE_std0,SONE_std1,SONE_std2,SONE_std3,SONE_std4,SONE_std5,SONE_std6,SONE_std7,SONE_std8,SONE_std9,SONE_std10,SONE_std11,SONE_std12,SONE_std13,SONE_std14,SONE_std15,SONE_std16,SONE_std17,SONE_std18,SONE_std19,SONE_std20,SONE_std21,SONE_std22,SONE_std23
2.mp3,0.1682141387472663,0.05346931855464992,[0.06375098,0.07395472,0.0341346,0.05033189,0.0290951,0.02294,0.02899312,0.02797087,0.01979574,0.01946577,0.02490226,0.02247091,0.02374536,0.02099329,0.02231144,0.01341141,0.02420275,0.02770306,0.01401333,0.01117286,0.0115585,0.01012767,0.00999561,0.00288408],[0.06375098,0.07395472,0.0341346,0.05033189,0.0290951,0.02294,0.02899312,0.02797087,0.01979574,0.01946577,0.02490226,0.02247091,0.02374536,0.02099329,0.02231144,0.01341141,0.02420275,0.02770306,0.01401333,0.01117286,0.0115585,0.01012767,0.00999561,0.00288408]
3.mp3,0.1479050135707836,0.05367495295783528,[0.11813634,0.06258129,0.03075591,0.021601,0.003327,0.00375788,0.00493112,0.00424988,0.00958513,0.00169519,0.00375023,0.0027643,0.00361925,0.00166162,0.0025744,0.00337949,0.00328967,0.00399352,0.00402856,0.00291758,0.0029823,0.00315931,0.00352014,0.00301867],[0.11813634,0.06258129,0.03075591,0.021601,0.003327,0.00375788,0.00493112,0.00424988,0.00958513,0.00169519,0.00375023,0.0027643,0.00361925,0.00166162,0.0025744,0.00337949,0.00328967,0.00399352,0.00402856,0.00291758,0.0029823,0.00315931,0.00352014,0.00301867]
4.mp3,0.25327907998352955,0.08611702769436479,[0.10792906,0.10248411,0.0651118,0.06261345,0.05556985,0.0330643,0.02757766,0.02718121,0.01742408,0.01908728,0.04820156,0.03191911,0.05523998,0.04115994,0.05254938,0.02789914,0.02250744,0.02342493,0.02024573,0.01469363,0.01806615,0.02287492,0.02211704,0.01715446],[0.10792906,0.10248411,0.0651118,0.06261345,0.05556985,0.0330643,0.02757766,0.02718121,0.01742408,0.01908728,0.04820156,0.03191911,0.05523998,0.04115994,0.05254938,0.02789914,0.02250744,0.02342493,0.02024573,0.01469363,0.01806615,0.02287492,0.02211704,0.01715446]
5.mp3,0.21775102073166194,0.06782986384665603,[0.01038148,0.0792373,0.08403169,0.08278883,0.03825739,0.06328402,0.05561426,0.03902737,0.03690499,0.02695612,0.01800277,0.01530929,0.02150354,0.01458236,0.02160633,0.02477084,0.01955367,0.02157264,0.01864457,0.01631487,0.00788581,0.01861021,0.02758372,0.01669324],[0.01038148,0.0792373,0.08403169,0.08278883,0.03825739,0.06328402,0.05561426,0.03902737,0.03690499,0.02695612,0.01800277,0.01530929,0.02150354,0.01458236,0.02160633,0.02477084,0.01955367,0.02157264,0.01864457,0.01631487,0.00788581,0.01861021,0.02758372,0.01669324]
7.mp3,0.2580796412262334,0.05822385600601834,[0.16710567,0.14924813,0.0608023,0.05367486,0.02946727,0.02458292,0.00743747,0.00926063,0.00957926,0.01045575,0.00925555,0.00718336,0.0102773,0.00786049,0.0105258,0.01294891,0.01184674,0.01727662,0.01948989,0.02207,0.01847392,0.01449861,0.01096528,0.0049545,],[0.16710567,0.14924813,0.0608023,0.05367486,0.02946727,0.02458292,0.00743747,0.00926063,0.00957926,0.01045575,0.00925555,0.00718336,0.0102773,0.00786049,0.0105258,0.01294891,0.01184674,0.01727662,0.01948989,0.02207,0.01847392,0.01449861,0.01096528,0.0049545,]
8.mp3,0.16079770489815082,0.06807085466173574,[0.10469922,0.04268966,0.03857191,0.0580114,0.0151475,0.01168926,0.00799614,0.00669165,0.00360275,0.00243755,0.00233864,0.00139528,0.00169096,0.0011273,0.00177142,0.00176071,0.00317387,0.00371088,0.00618027,0.00756548,0.00917168,0.01208332,0.01522081,0.01744456],[0.10469922,0.04268966,0.03857191,0.0580114,0.0151475,0.01168926,0.00799614,0.00669165,0.00360275,0.00243755,0.00233864,0.00139528,0.00169096,0.0011273,0.00177142,0.00176071,0.00317387,0.00371088,0.00618027,0.00756548,0.00917168,0.01208332,0.01522081,0.01744456]
10.mp3,0.10222361690308483,0.05306550201367494,[0.03509598,0.02305945,0.02786787,0.02530995,0.01190695,0.0135978,0.01484789,0.01710101,0.00873289,0.01157002,0.00753944,0.00738159,0.01124605,0.011684,0.01521527,0.00750527,0.00347202,0.00440559,0.00366526,0.00417988,0.00497673,0.00794924,0.00694854,0.00586177],[0.03509598,0.02305945,0.02786787,0.02530995,0.01190695,0.0135978,0.01484789,0.01710101,0.00873289,0.01157002,0.00753944,0.00738159,0.01124605,0.011684,0.01521527,0.00750527,0.00347202,0.00440559,0.00366526,0.00417988,0.00497673,0.00794924,0.00694854,0.00586177]
12.mp3,0.29982077200643664,0.10443386968006149,[0.0722554,0.13015834,0.0970341,0.09322175,0.04657167,0.04213924,0.03333655,0.033745,0.02167721,0.01578068,0.02002106,0.02091654,0.02428426,0.02620704,0.03254875,0.02999698,0.03078776,0.03757226,0.04740478,0.04209938,0.04871677,0.05398035,0.04342774,0.04022804],[0.0722554,0.13015834,0.0970341,0.09322175,0.04657167,0.04213924,0.03333655,0.033745,0.02167721,0.01578068,0.02002106,0.02091654,0.02428426,0.02620704,0.03254875,0.02999698,0.03078776,0.03757226,0.04740478,0.04209938,0.04871677,0.05398035,0.04342774,0.04022804]
13.mp3,0.17951075949794734,0.06603677938923323,[0.04739502,0.09389216,0.05309185,0.06129919,0.01842237,0.03617633,0.02080173,0.02191782,0.0171242,0.01300508,0.0080173,0.01132816,0.01214722,0.00809511,0.01340154,0.016602,0.01379589,0.0180378,0.01230846,0.0116222,0.00840735,0.01388853,0.02222307,0.01692914],[0.04739502,0.09389216,0.05309185,0.06129919,0.01842237,0.03617633,0.02080173,0.02191782,0.0171242,0.01300508,0.0080173,0.01132816,0.01214722,0.00809511,0.01340154,0.016602,0.01379589,0.0180378,0.01230846,0.0116222,0.00840735,0.01388853,0.02222307,0.01692914]
17.mp3,0.2885958449079022,0.09902037818229202,[0.08802594,0.10972597,0.0929486,0.07553775,0.04281271,0.06122211,0.02930237,0.03464022,0.04854461,0.03852882,0.03384635,0.02635894,0.03442712,0.0369076,0.03888221,0.0404017,0.04234135,0.04856042,0.04486534,0.0424754,0.03199585,0.02960154,0.02829381,0.02274909],[0.08802594,0.10972597,0.0929486,0.07553775,0.04281271,0.06122211,0.02930237,0.03464022,0.04854461,0.03852882,0.03384635,0.02635894,0.03442712,0.0369076,0.03888221,0.0404017,0.04234135,0.04856042,0.04486534,0.0424754,0.03199585,0.02960154,0.02829381,0.02274909]
