song,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,onset_mean,onset_std,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,tot_loudness_mean,tot_loudness_std,SONE_mean0,SONE_mean1,SONE_mean2,SONE_mean3,SONE_mean4,SONE_mean5,SONE_mean6,SONE_mean7,SONE_mean8,SONE_mean9,SONE_mean10,SONE_mean11,SONE_mean12,SONE_mean13,SONE_mean14,SONE_mean15,SONE_mean16,SONE_mean17,SONE_mean18,SONE_mean19,SONE_mean20,SONE_mean21,SONE_mean22,SONE_mean23,SONE_std0,SONE_std1,SONE_std2,SONE_std3,SONE_std4,SONE_std5,SONE_std6,SONE_std7,SONE_std8,SONE_std9,SONE_std10,SONE_std11,SONE_std12,SONE_std13,SONE_std14,SONE_std15,SONE_std16,SONE_std17,SONE_std18,SONE_std19,SONE_std20,SONE_std21,SONE_std22,SONE_std23, valence_mean, valence_std, arousal_mean, arousal_std
2,3711.354614,1459.04268,0.036505878,0.017713076,1802.788024,609.7697142,2495.712907,564.1902447,1.334646972,0.840078468,139.6748311,-200.2661079,43.55558622,171.7836536,24.75128343,-32.71618908,17.35395426,36.4087293,16.64939224,0.236464413,15.78718895,17.68366096,12.70759872,1.368932864,9.836256364,9.273608686,8.531446101,1.375900231,10.16034483,-3.27161143,9.630573118,6.490683048,7.441882312,1.073985845,9.02880298,-1.02318022,8.618328232,0.168214139,0.053469319,0.06375098,0.07395472,0.0341346,0.05033189,0.0290951,0.02294,0.02899312,0.02797087,0.01979574,0.01946577,0.02490226,0.02247091,0.02374536,0.02099329,0.02231144,0.01341141,0.02420275,0.02770306,0.01401333,0.01117286,0.0115585,0.01012767,0.00999561,0.00288408,0.06375098,0.07395472,0.0341346,0.05033189,0.0290951,0.02294,0.02899312,0.02797087,0.01979574,0.01946577,0.02490226,0.02247091,0.02374536,0.02099329,0.02231144,0.01341141,0.02420275,0.02770306,0.01401333,0.01117286,0.0115585,0.01012767,0.00999561,0.00288408,3.1,0.94,3,0.63
3,2070.562645,1858.090897,0.013495897,0.012071919,1005.057173,709.027287,1934.937943,888.3057499,1.082210809,1.176160585,95.703125,-285.9258533,47.68389272,159.1327648,20.88958493,7.611545126,15.72848978,33.75757427,15.27637336,25.20758526,14.29269742,20.01032753,10.69462691,18.2473071,10.10586755,21.90022243,8.256739035,11.85447966,7.573474078,10.96038172,7.992806179,9.535458515,6.419338799,7.900929232,6.589665428,2.073136547,6.039463495,0.147905014,0.053674953,0.11813634,0.06258129,0.03075591,0.021601,0.003327,0.00375788,0.00493112,0.00424988,0.00958513,0.00169519,0.00375023,0.0027643,0.00361925,0.00166162,0.0025744,0.00337949,0.00328967,0.00399352,0.00402856,0.00291758,0.0029823,0.00315931,0.00352014,0.00301867,0.11813634,0.06258129,0.03075591,0.021601,0.003327,0.00375788,0.00493112,0.00424988,0.00958513,0.00169519,0.00375023,0.0027643,0.00361925,0.00166162,0.0025744,0.00337949,0.00328967,0.00399352,0.00402856,0.00291758,0.0029823,0.00315931,0.00352014,0.00301867,3.5,1.75,3.3,1.62
4,3731.133991,2175.264756,0.037347788,0.023336221,1835.387383,842.1863644,2603.995932,892.7575768,1.308326677,1.097683307,112.3471467,-163.7232849,57.60059126,166.3006738,30.67858603,-29.4830389,17.37226079,36.67624982,15.86858706,10.50526228,16.81533794,39.91491521,12.44016443,-2.766332102,11.63411364,7.671139953,12.04352374,-2.184456172,11.53957902,2.388019068,10.72301338,-0.667267662,8.738822554,0.582166419,7.584348555,0.230368578,6.483933296,0.25327908,0.086117028,0.10792906,0.10248411,0.0651118,0.06261345,0.05556985,0.0330643,0.02757766,0.02718121,0.01742408,0.01908728,0.04820156,0.03191911,0.05523998,0.04115994,0.05254938,0.02789914,0.02250744,0.02342493,0.02024573,0.01469363,0.01806615,0.02287492,0.02211704,0.01715446,0.10792906,0.10248411,0.0651118,0.06261345,0.05556985,0.0330643,0.02757766,0.02718121,0.01742408,0.01908728,0.04820156,0.03191911,0.05523998,0.04115994,0.05254938,0.02789914,0.02250744,0.02342493,0.02024573,0.01469363,0.01806615,0.02287492,0.02211704,0.01715446,5.7,1.42,5.5,1.63
5,3493.852414,1939.783252,0.036230242,0.026483398,1811.378566,824.5774415,2738.804293,726.7965746,1.20495571,0.953404275,123.046875,-190.3401318,55.82529779,162.4361238,24.78997422,-10.73939379,18.10370217,38.93720019,17.46410329,-6.951495842,16.42789889,10.32279596,11.5967162,-25.88670104,17.8323562,6.756059346,12.73318552,-14.67544846,10.83801797,-6.158455095,8.349860328,-7.250894683,9.701065874,-13.48069571,10.12174331,-1.854241206,9.502792417,0.217751021,0.067829864,0.01038148,0.0792373,0.08403169,0.08278883,0.03825739,0.06328402,0.05561426,0.03902737,0.03690499,0.02695612,0.01800277,0.01530929,0.02150354,0.01458236,0.02160633,0.02477084,0.01955367,0.02157264,0.01864457,0.01631487,0.00788581,0.01861021,0.02758372,0.01669324,0.01038148,0.0792373,0.08403169,0.08278883,0.03825739,0.06328402,0.05561426,0.03902737,0.03690499,0.02695612,0.01800277,0.01530929,0.02150354,0.01458236,0.02160633,0.02477084,0.01955367,0.02157264,0.01864457,0.01631487,0.00788581,0.01861021,0.02758372,0.01669324,4.4,2.01,5.3,1.85
7,2484.738607,2186.125729,0.012859331,0.015350769,1170.067937,780.7912849,2236.01222,736.906769,1.454679683,1.658533707,120.1853198,-208.9080626,55.17544655,156.9895945,21.08085833,-2.480968045,21.23987392,62.61119732,15.65726629,13.25925187,13.38222085,27.91966121,7.636732158,20.39638037,10.02943346,12.30996419,8.220123632,10.17244023,10.32154728,2.515748111,7.089932318,0.893407446,7.530973132,-1.297025548,6.578618696,3.176084084,6.02016061,0.258079641,0.058223856,0.16710567,0.14924813,0.0608023,0.05367486,0.02946727,0.02458292,0.00743747,0.00926063,0.00957926,0.01045575,0.00925555,0.00718336,0.0102773,0.00786049,0.0105258,0.01294891,0.01184674,0.01727662,0.01948989,0.02207,0.01847392,0.01449861,0.01096528,0.0049545,0.16710567,0.14924813,0.0608023,0.05367486,0.02946727,0.02458292,0.00743747,0.00926063,0.00957926,0.01045575,0.00925555,0.00718336,0.0102773,0.00786049,0.0105258,0.01294891,0.01184674,0.01727662,0.01948989,0.02207,0.01847392,0.01449861,0.01096528,0.0049545,5.8,1.47,6.4,1.69
8,2802.034405,4243.742769,0.02384503,0.036327304,1334.204774,1712.270973,2144.472664,1642.691969,1.392950832,2.733178727,82.03125,-329.1283067,92.55263572,141.7248392,40.67092211,70.11109549,37.93949437,59.85550196,23.73053838,8.516180424,19.40201286,20.73675603,17.70197495,6.608142028,16.05020367,9.314430882,12.44048532,-2.442273223,10.20657285,4.987919228,8.173284137,-2.044102429,8.145006539,2.903549865,7.301833826,1.607411792,6.350754102,0.160797705,0.068070855,0.10469922,0.04268966,0.03857191,0.0580114,0.0151475,0.01168926,0.00799614,0.00669165,0.00360275,0.00243755,0.00233864,0.00139528,0.00169096,0.0011273,0.00177142,0.00176071,0.00317387,0.00371088,0.00618027,0.00756548,0.00917168,0.01208332,0.01522081,0.01744456,0.10469922,0.04268966,0.03857191,0.0580114,0.0151475,0.01168926,0.00799614,0.00669165,0.00360275,0.00243755,0.00233864,0.00139528,0.00169096,0.0011273,0.00177142,0.00176071,0.00317387,0.00371088,0.00618027,0.00756548,0.00917168,0.01208332,0.01522081,0.01744456,3.2,1.4,4.8,1.54
10,3353.444156,2901.243251,0.041572834,0.028858661,1662.771406,1129.869098,2326.218741,1246.565515,1.358636202,1.810687795,93.96306818,-307.8199582,74.0365042,154.6335715,39.4567905,13.86622263,34.56455142,18.28234401,28.87082354,10.56890547,23.01491925,24.91483908,13.64165446,-4.423219528,12.12231579,5.528986818,12.87105059,5.467640618,10.93971841,7.656522421,10.0756525,0.794989059,9.332819706,-1.123325595,11.22529491,-0.974351617,11.11545674,0.102223617,0.053065502,0.03509598,0.02305945,0.02786787,0.02530995,0.01190695,0.0135978,0.01484789,0.01710101,0.00873289,0.01157002,0.00753944,0.00738159,0.01124605,0.011684,0.01521527,0.00750527,0.00347202,0.00440559,0.00366526,0.00417988,0.00497673,0.00794924,0.00694854,0.00586177,0.03509598,0.02305945,0.02786787,0.02530995,0.01190695,0.0135978,0.01484789,0.01710101,0.00873289,0.01157002,0.00753944,0.00738159,0.01124605,0.011684,0.01521527,0.00750527,0.00347202,0.00440559,0.00366526,0.00417988,0.00497673,0.00794924,0.00694854,0.00586177,4,1.67,4.7,1.85
12,5114.407542,3574.673009,0.046389737,0.049579495,2344.75884,1536.126662,2986.639621,1167.402385,1.372168066,1.652908926,129.1992188,-150.4389669,86.14554853,142.3757766,38.602932,-6.481609146,31.1843665,58.19970671,20.16553015,-2.834089199,18.9422416,28.38049926,17.19999115,-5.764561811,13.05116479,7.713461459,13.53561664,-4.245000098,10.91434086,4.618688693,10.99393676,-5.198709998,8.62314402,-1.777985844,8.491676783,-3.39309323,6.633292355,0.299820772,0.10443387,0.0722554,0.13015834,0.0970341,0.09322175,0.04657167,0.04213924,0.03333655,0.033745,0.02167721,0.01578068,0.02002106,0.02091654,0.02428426,0.02620704,0.03254875,0.02999698,0.03078776,0.03757226,0.04740478,0.04209938,0.04871677,0.05398035,0.04342774,0.04022804,0.0722554,0.13015834,0.0970341,0.09322175,0.04657167,0.04213924,0.03333655,0.033745,0.02167721,0.01578068,0.02002106,0.02091654,0.02428426,0.02620704,0.03254875,0.02999698,0.03078776,0.03757226,0.04740478,0.04209938,0.04871677,0.05398035,0.04342774,0.04022804,5.5,1.91,5.8,1.89
13,3555.674326,2598.325497,0.031145602,0.029539976,1783.438041,1036.566633,2887.653935,809.7782817,1.190285742,0.942369298,139.6748311,-236.6935189,65.69598241,150.439316,27.31556572,-1.841555116,21.22268571,43.58246997,22.36146011,7.417938243,15.90943129,19.74112239,12.91520562,-12.66268949,19.32191179,17.68233631,12.33822453,-6.406693997,13.01926664,1.162981576,9.11469455,-4.727211872,9.316876694,-3.951000121,10.22666291,-4.430103204,9.959045345,0.179510759,0.066036779,0.04739502,0.09389216,0.05309185,0.06129919,0.01842237,0.03617633,0.02080173,0.02191782,0.0171242,0.01300508,0.0080173,0.01132816,0.01214722,0.00809511,0.01340154,0.016602,0.01379589,0.0180378,0.01230846,0.0116222,0.00840735,0.01388853,0.02222307,0.01692914,0.04739502,0.09389216,0.05309185,0.06129919,0.01842237,0.03617633,0.02080173,0.02191782,0.0171242,0.01300508,0.0080173,0.01132816,0.01214722,0.00809511,0.01340154,0.016602,0.01379589,0.0180378,0.01230846,0.0116222,0.00840735,0.01388853,0.02222307,0.01692914,3.2,1.4,4,1.67
17,4354.521771,2255.637296,0.039344752,0.025677314,2016.147733,921.0552426,2706.042948,867.1905497,1.332494268,1.630019181,107.6660156,-139.4604281,64.54028268,159.611341,30.21832454,-30.77296065,23.51513799,48.52083234,15.55141872,0.126004639,15.86746301,17.85810581,12.93077676,-0.191477263,13.99620067,14.22927241,12.95166422,-1.220621703,11.12717084,5.816445498,9.334779395,-6.475850297,8.574723013,-4.116676469,8.47438987,-4.389280605,8.36432607,0.288595845,0.099020378,0.08802594,0.10972597,0.0929486,0.07553775,0.04281271,0.06122211,0.02930237,0.03464022,0.04854461,0.03852882,0.03384635,0.02635894,0.03442712,0.0369076,0.03888221,0.0404017,0.04234135,0.04856042,0.04486534,0.0424754,0.03199585,0.02960154,0.02829381,0.02274909,0.08802594,0.10972597,0.0929486,0.07553775,0.04281271,0.06122211,0.02930237,0.03464022,0.04854461,0.03852882,0.03384635,0.02635894,0.03442712,0.0369076,0.03888221,0.0404017,0.04234135,0.04856042,0.04486534,0.0424754,0.03199585,0.02960154,0.02829381,0.02274909,4.4,1.8,6,2.05
